"name","burglary_count","theft_count"
"Abbey Road",111,290
"Bayswater",237,540
"Bryanston and Dorset Square",248,1116
"Church Street",74,280
"Churchill",48,199
"Harrow Road",120,331
"Hyde Park",318,1622
"Knightsbridge and Belgravia",130,1178
"Lancaster Gate",372,1369
"Little Venice",162,467
"Maida Vale",79,373
"Marylebone High Street",342,2073
"Queen's Park",125,255
"Regent's Park",85,465
"St James Park",1,170
"Tachbrook",65,223
"Vincent Square",142,1138
"Warwick",106,395
"West End and China Town",99,5362
"Westbourne",133,300
